Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12314,2022-11-17,0.0896827883,0.0098021085,0.0091696311,21,100
Market-Adjusted Model,12315,2022-11-17,0.0775662251,-0.003700663,-0.002946932,21,100
Market-Adjusted Model,12316,2022-11-17,0.0805583167,-0.000139022,0.0000451595,21,100
Market-Adjusted Model,12317,2022-11-17,0.0582463828,-0.019849478,-0.022266774,21,100
Market-Adjusted Model,12318,2022-11-17,0.0596932597,-0.019060752,-0.020819897,21,100
Market-Adjusted Model,12321,2022-11-17,0.0619905418,-0.017247239,-0.018522615,21,100
Market-Adjusted Model,12325,2022-11-17,0.2117066287,0.1347588712,0.1311934716,21,100
Market-Adjusted Model,12326,2022-11-17,0.1120222677,0.0284744147,0.0315091105,21,100
Market-Adjusted Model,12329,2022-11-17,0.0953922785,0.0140814378,0.0148791213,21,100
Market-Adjusted Model,12331,2022-11-17,0.0539548879,-0.02535979,-0.026558269,21,100
Market-Adjusted Model,12332,2022-11-17,0.4810126065,0.3400335144,0.4004994494,21,100
Market-Adjusted Model,12333,2022-11-17,0.1156478516,0.0411583138,0.0351346945,21,100
Market-Adjusted Model,12334,2022-11-17,0.1370258317,0.05348398,0.0565126746,21,100
Market-Adjusted Model,12338,2022-11-17,0.1731343833,0.084475049,0.0926212261,21,100
Market-Adjusted Model,12339,2022-11-17,0.1471774247,0.0856883714,0.0666642676,21,100
Market-Adjusted Model,12341,2022-11-17,0.0159941088,-0.063819338,-0.064519048,21,100
Market-Adjusted Model,12345,2022-11-17,0.1005638217,0.0256381411,0.0200506645,21,100
Market-Adjusted Model,12350,2022-11-17,-0.430044576,-0.565067167,-0.510557733,21,100
Market-Adjusted Model,12355,2022-11-17,0.0609056244,-0.017804079,-0.019607533,21,100
Market-Adjusted Model,12358,2022-11-17,-0.009999988,-0.059750401,-0.090513145,21,100
Market-Adjusted Model,12360,2022-11-17,0.319306943,0.2399640731,0.2387937858,21,100
Market-Adjusted Model,12363,2022-11-17,0.2666666253,0.1717196984,0.1861534681,21,100
Market-Adjusted Model,12366,2022-11-17,0.0033414866,-0.072940529,-0.077171671,21,100
Market-Adjusted Model,12367,2022-11-17,-0.216738198,-0.279138884,-0.297251355,21,100
Market-Adjusted Model,12368,2022-11-17,0.0691455612,-0.012209378,-0.011367596,21,100
Market-Adjusted Model,12369,2022-11-17,0.0381313955,-0.038217847,-0.042381762,21,100
Market-Adjusted Model,12370,2022-11-17,0.3046757944,0.1996300491,0.2241626372,21,100
